host_id,host_response_rate,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
70857,0,1.0,2.0,2.0,30.0,180.0,30.0,30.0,180.0,180.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
73164,100,1.0,2.0,4.0,90.0,3000.0,90.0,90.0,3000.0,3000.0,0,0,1,276,68.0,1.0,0.0,109,1.0,180,1.0,1.0,0.0,0.0
940724,0,1.0,2.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,30,60,90,365,20.3,0.0,0.0,198,0.0,0,1.0,0.0,1.0,0.0
949221,0,1.0,3.0,1.0,30.0,120.0,30.0,30.0,120.0,120.0,28,58,88,88,90.0,0.0,0.0,88,0.0,0,1.0,0.0,1.0,0.0
611716,0,1.0,2.0,2.0,3.0,29.0,3.0,3.0,29.0,29.0,0,0,0,167,20.3,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
241559,100,2.0,6.0,2.0,30.0,300.0,30.0,30.0,300.0,300.0,0,15,45,320,133.0,1.0,0.0,153,1.0,60,2.0,2.0,0.0,0.0
985846,0,1.0,3.0,4.0,30.0,60.0,30.0,30.0,1125.0,1125.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
988350,100,1.0,1.0,4.0,30.0,30.0,30.0,30.0,30.0,30.0,0,0,0,77,106.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
918087,0,3.0,3.0,2.0,30.0,101.0,30.0,30.0,101.0,101.0,0,0,0,0,70.0,0.0,0.0,0,0.0,0,3.0,1.0,2.0,0.0
1000477,0,1.0,1.0,4.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,0,0,0,8.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
451545,100,1.0,1.0,5.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,2,29,52,327,83.0,2.0,0.0,160,4.0,120,1.0,1.0,0.0,0.0
453519,0,1.0,6.0,3.0,30.0,60.0,30.0,30.0,60.0,60.0,0,5,5,278,20.3,4.0,1.0,111,3.0,240,1.0,1.0,0.0,0.0
260682,20,2.0,4.0,1.0,30.0,31.0,30.0,30.0,31.0,31.0,0,30,60,335,5.0,0.0,0.0,168,0.0,0,1.0,0.0,1.0,0.0
417504,100,29.0,40.0,2.0,1.0,365.0,1.0,1.0,1125.0,1125.0,27,57,87,164,36.0,2.0,1.0,164,5.0,26,29.0,15.0,10.0,0.0
116599,0,3.0,5.0,2.6,30.0,365.0,30.0,30.0,365.0,365.0,23,53,83,358,0.0,0.0,0.0,191,0.0,0,3.0,1.0,2.0,0.0
496426,100,1.0,3.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,23,53,83,173,81.0,0.0,0.0,173,0.0,0,1.0,1.0,0.0,0.0
25183,100,2.0,3.0,5.0,30.0,730.0,30.0,30.0,1125.0,1125.0,8,13,22,235,173.0,0.0,0.0,69,0.0,0,2.0,2.0,0.0,0.0
473113,86,1.0,1.0,2.0,5.0,90.0,1.0,7.0,90.0,90.0,5,21,31,95,167.0,17.0,2.0,88,10.0,218,1.0,1.0,0.0,0.0
116599,0,3.0,5.0,5.0,30.0,365.0,30.0,30.0,365.0,365.0,29,59,89,364,11.0,0.0,0.0,197,0.0,0,3.0,1.0,2.0,0.0
73469,0,1.0,1.0,4.0,30.0,60.0,30.0,30.0,60.0,60.0,28,58,88,88,16.0,0.0,0.0,88,0.0,0,1.0,0.0,1.0,0.0
74857,0,1.0,1.0,2.0,30.0,90.0,30.0,30.0,90.0,90.0,1,1,1,260,59.0,0.0,0.0,93,0.0,0,1.0,1.0,0.0,0.0
79402,0,1.0,2.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,0,0,0,0,165.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
42032,0,1.0,3.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,4,19,19,198,80.0,0.0,0.0,31,0.0,0,1.0,0.0,1.0,0.0
51038,100,4.0,4.0,8.0,30.0,365.0,30.0,30.0,1125.0,1125.0,4,30,37,37,115.0,3.0,0.0,37,3.0,180,2.0,1.0,1.0,0.0
1010242,100,1.0,1.0,2.0,30.0,120.0,30.0,30.0,1125.0,1125.0,28,58,88,178,158.0,0.0,0.0,178,0.0,0,1.0,1.0,0.0,0.0
1014639,0,1.0,1.0,2.0,30.0,730.0,30.0,30.0,730.0,730.0,0,0,0,0,4.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
1018472,0,2.0,2.0,4.0,30.0,365.0,30.0,30.0,365.0,365.0,27,57,87,87,125.0,0.0,0.0,87,0.0,0,2.0,0.0,2.0,0.0
1024355,0,1.0,1.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,0,0,0,0,14.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
1031148,83,3.0,6.0,2.0,30.0,360.0,30.0,30.0,1125.0,1125.0,0,16,31,291,20.3,5.0,0.0,124,6.0,255,1.0,0.0,1.0,0.0
666271,0,1.0,1.0,1.0,31.0,90.0,31.0,31.0,90.0,90.0,0,6,36,311,13.0,1.0,0.0,144,1.0,62,1.0,0.0,1.0,0.0
1096084,0,1.0,1.0,3.0,30.0,60.0,30.0,30.0,60.0,60.0,0,0,0,0,9.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
800223,100,1.0,4.0,2.0,5.0,1125.0,1.0,5.0,1125.0,1125.0,4,31,46,262,87.0,22.0,2.0,104,15.0,255,1.0,0.0,1.0,0.0
1109658,0,1.0,1.0,3.0,30.0,365.0,30.0,30.0,365.0,365.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
17571,100,2.0,2.0,2.0,30.0,60.0,30.0,30.0,60.0,60.0,16,31,44,118,155.0,1.0,0.0,45,1.0,60,2.0,0.0,2.0,0.0
520279,0,1.0,1.0,2.0,30.0,60.0,30.0,30.0,60.0,60.0,0,0,0,168,18.0,0.0,0.0,1,0.0,0,1.0,1.0,0.0,0.0
523218,0,1.0,1.0,2.0,30.0,40.0,30.0,30.0,40.0,40.0,23,53,83,173,150.0,0.0,0.0,173,0.0,0,1.0,0.0,1.0,0.0
526805,100,1.0,1.0,3.0,30.0,90.0,30.0,30.0,90.0,90.0,6,6,13,65,125.0,3.0,0.0,65,5.0,180,1.0,1.0,0.0,0.0
